"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"FAZE3Q","441.60","529.90","88.30","20.00","529.90","23,504","1.25","-","747.95","317.75"
"PRECOT","393.50","469.00","75.50","19.19","469.00","14,280","0.67","-","643.65","300.05"
"NGLFINE","1,803.50","2,050.00","246.50","13.67","2,050.00","1,515","0.31","-","2,050.00","957.00"
"TFL","14.42","16.25","1.83","12.69","16.25","2","-","-","21.50","11.75"
"GOKEX","694.05","778.40","84.35","12.15","778.40","3,94,038","30.67","-","1,060.00","531.00"
"INNOVANA","342.00","378.95","36.95","10.80","378.95","30","-","-","649.50","270.50"
"SFL","523.60","575.00","51.40","9.82","575.00","16,099","0.93","-","918.40","497.95"
"ESPRIT","74.25","81.00","6.75","9.09","81.00","1,600","0.01","-","134.55","52.00"
"NIRAJISPAT","170.00","185.00","15.00","8.82","185.00","8","-","-","612.50","155.00"
"LAL","7.94","8.60","0.66","8.31","8.60","69","-","-","16.45","6.45"
"PALASHSECU","97.81","105.90","8.09","8.27","105.90","2","-","-","151.00","94.26"
"BALKRISHNA","16.67","17.98","1.31","7.86","17.98","1","-","-","25.97","15.67"
"AKI","6.19","6.66","0.47","7.59","6.66","1,772","-","-","16.05","5.70"
"VINNY","1.20","1.29","0.09","7.50","1.29","42,984","0.01","-","1.64","0.94"
"LEMERITE","462.80","497.50","34.70","7.50","497.50","210","0.01","-","537.85","280.00"
"LLOYDSME","1,168.70","1,255.00","86.30","7.38","1,255.00","32,818","4.12","-","1,612.00","942.15"
"REFRACTORY","44.70","48.00","3.30","7.38","48.00","1,000","-","-","92.80","39.00"
"V2RETAIL","2,120.10","2,269.80","149.70","7.06","2,269.80","26,760","6.07","-","2,564.10","1,390.20"
"UNIMECH","939.30","1,005.50","66.20","7.05","1,005.50","4,033","0.41","-","1,397.00","807.05"
"KITEX","196.48","210.00","13.52","6.88","210.00","4,78,452","10.05","-","324.42","138.20"
"MOTOGENFIN","20.97","22.40","1.43","6.82","22.40","1","-","-","33.70","20.50"
"HYBRIDFIN","22.41","23.90","1.49","6.65","23.90","38","-","-","33.62","10.05"
"NEXTMEDIA","5.14","5.47","0.33","6.42","5.47","2","-","-","8.48","5.00"
"NAGREEKEXP","25.28","26.89","1.61","6.37","26.89","140","-","-","40.00","22.50"
"SCPL","320.35","340.65","20.30","6.34","340.65","3,436","0.12","-","368.95","190.03"
"KHAITANLTD","95.86","101.80","5.94","6.20","101.80","1","-","-","167.50","71.56"
"SPECTRUM","1,209.00","1,283.20","74.20","6.14","1,283.20","414","0.05","-","2,249.95","1,050.00"
"UNIINFO","14.35","15.20","0.85","5.92","15.20","1,500","-","-","33.50","13.50"
"RSSOFTWARE","36.76","38.90","2.14","5.82","38.90","44","-","-","144.22","35.00"
"MACPOWER","847.75","895.90","48.15","5.68","895.90","1","-","-","1,314.90","601.20"
"VARDMNPOLY","6.90","7.29","0.39","5.65","7.29","11,126","0.01","-","13.74","5.10"
"MITCON","59.62","62.95","3.33","5.59","62.95","200","-","-","102.90","53.11"
"ADROITINFO","9.49","10.00","0.51","5.37","10.00","4,576","-","-","18.95","8.10"
"KNAGRI","169.65","178.50","8.85","5.22","178.50","500","0.01","-","273.50","153.95"
"LYPSAGEMS","5.22","5.49","0.27","5.17","5.49","750","-","-","10.93","4.41"
"KRIDHANINF","3.95","4.15","0.20","5.06","4.15","7","-","-","5.39","3.03"
"TERASOFT","433.05","454.70","21.65","5.00","454.70","500","0.02","-","598.00","162.85"
"UEL","136.21","143.02","6.81","5.00","143.02","74","-","-","157.66","72.27"
"KAPSTON","396.30","416.10","19.80","5.00","416.10","821","0.03","-","433.50","190.00"
"RPTECH","364.95","383.00","18.05","4.95","383.00","10,676","0.41","-","408.70","245.15"
"KARMAENG","40.88","42.89","2.01","4.92","42.89","5","-","-","86.93","36.50"
"RAJESHEXPO","169.50","177.77","8.27","4.88","177.77","14,813","0.26","-","237.88","151.11"
"PALREDTEC","36.90","38.70","1.80","4.88","38.70","11","-","-","73.60","32.56"
"JPASSOCIAT","3.11","3.26","0.15","4.82","3.26","2,12,505","0.07","-","5.37","2.56"
"ORTEL","1.46","1.53","0.07","4.79","1.53","20","-","-","2.34","1.15"
"SALSTEEL","39.31","41.19","1.88","4.78","41.19","88","-","-","45.12","14.37"
"GENUSPAPER","11.31","11.85","0.54","4.77","11.85","10,000","0.01","-","22.01","11.02"
"MONEYBOXX","54.41","57.00","2.59","4.76","57.00","1","-","-","91.50","44.02"
"ELGIRUBCO","43.06","45.10","2.04","4.74","45.10","4","-","-","107.00","39.25"
"SAMBHAAV","7.83","8.20","0.37","4.73","8.20","185","-","-","11.53","5.00"
"MEGASOFT","171.95","180.00","8.05","4.68","180.00","11,717","0.21","-","231.00","49.06"
"PARASPETRO","2.61","2.73","0.12","4.60","2.73","5,508","-","-","-","-"
"TVVISION","6.38","6.67","0.29","4.55","6.67","3,577","-","-","12.40","3.65"
"GATECHDVR","0.44","0.46","0.02","4.55","0.46","22,008","-","-","1.16","0.42"
"PRIMO","20.46","21.38","0.92","4.50","21.38","49","-","-","31.39","19.06"
"ARCHIDPLY","89.58","93.60","4.02","4.49","93.60","1","-","-","120.40","79.50"
"RELIABLE","167.49","174.99","7.50","4.48","174.99","50","-","-","174.10","63.15"
"OSELDEVICE","468.00","488.95","20.95","4.48","488.95","1,200","0.06","-","835.00","186.25"
"IL&FSTRANS","2.68","2.80","0.12","4.48","2.80","159","-","-","4.75","2.42"
"NITINSPIN","348.80","364.35","15.55","4.46","364.35","4,031","0.15","-","424.95","290.50"
"FLFL","1.14","1.19","0.05","4.39","1.19","29,294","-","-","2.24","1.14"
"ALBERTDAVD","687.90","718.00","30.10","4.38","718.00","4","-","-","1,218.85","663.35"
"HCL-INSYS","12.73","13.28","0.55","4.32","13.28","3,185","-","-","24.50","11.75"
"ANIKINDS","48.92","51.00","2.08","4.25","51.00","1","-","-","133.00","42.00"
"SUMEETINDS","26.29","27.40","1.11","4.22","27.40","381","-","-","40.50","10.66"
"INDOWIND","11.41","11.89","0.48","4.21","11.89","2,867","-","-","24.21","10.92"
"UMESLTD","4.51","4.70","0.19","4.21","4.70","36","-","-","7.28","4.06"
"SABTNL","1,722.50","1,794.00","71.50","4.15","1,794.00","561","0.10","-","2,247.00","352.60"
"VIVIANA","739.40","770.00","30.60","4.14","770.00","200","0.02","-","1,162.50","373.75"
"TTL","9.32","9.70","0.38","4.08","9.70","10,859","0.01","-","16.20","6.42"
"VIMTALABS","438.45","456.35","17.90","4.08","456.35","10,445","0.48","-","902.65","400.30"
"FMNL","8.03","8.35","0.32","3.99","8.35","500","-","-","22.51","7.30"
"HDIL","2.27","2.36","0.09","3.96","2.36","1,596","-","-","4.04","1.92"
"TREEHOUSE","7.36","7.65","0.29","3.94","7.65","10","-","-","17.57","6.19"
"SETCO","15.34","15.94","0.60","3.91","15.94","28,453","0.05","-","21.68","11.56"
"PARIN","671.90","698.00","26.10","3.88","698.00","250","0.02","-","677.00","311.65"
"BEDMUTHA","128.11","133.00","4.89","3.82","133.00","1","-","-","199.58","95.00"
"TAINWALCHM","173.12","179.70","6.58","3.80","179.70","1","-","-","274.99","155.00"
"JISLDVREQS","23.02","23.89","0.87","3.78","23.89","65","-","-","36.90","21.95"
"NIBL","30.65","31.80","1.15","3.75","31.80","1,000","-","-","40.80","19.50"
"ZODIAC","255.45","265.00","9.55","3.74","265.00","139","-","-","560.00","240.00"
"SBGLP","33.93","35.20","1.27","3.74","35.20","15","-","-","119.39","24.95"
"GGBL","271.85","282.00","10.15","3.73","282.00","300","0.01","-","555.00","221.05"
"VIJIFIN","2.42","2.51","0.09","3.72","2.51","3,773","-","-","4.60","1.99"
"RAMCOSYS","501.35","520.00","18.65","3.72","520.00","3,811","0.20","-","682.35","270.00"
"SJLOGISTIC","334.25","346.70","12.45","3.72","346.70","250","0.01","-","685.00","300.00"
"RAMRAT","293.05","303.90","10.85","3.70","303.90","579","0.02","-","392.98","228.30"
"MAHAPEXLTD","90.67","94.00","3.33","3.67","94.00","2","-","-","147.92","69.05"
"COASTCORP","48.14","49.90","1.76","3.66","49.90","21,478","0.11","-","49.38","30.01"
"TRU","7.48","7.75","0.27","3.61","7.75","142","-","-","20.84","6.41"
"HPAL","38.52","39.90","1.38","3.58","39.90","85","-","-","71.00","36.30"
"AMDIND","43.16","44.70","1.54","3.57","44.70","193","-","-","68.07","39.85"
"PREMIER","3.09","3.20","0.11","3.56","3.20","17","-","-","4.34","2.55"
"NDRAUTO","733.95","760.00","26.05","3.55","760.00","719","0.05","-","1,220.00","551.00"
"AMBICAAGAR","23.37","24.20","0.83","3.55","24.20","2","-","-","36.95","22.66"
"NELCAST","109.16","113.01","3.85","3.53","113.01","7,553","0.09","-","180.90","78.55"
"COUNCODOS","5.11","5.29","0.18","3.52","5.29","1,724","-","-","11.92","4.60"
"AFFORDABLE","193.17","199.90","6.73","3.48","199.90","166","-","-","540.10","157.53"
"BANARBEADS","123.70","128.00","4.30","3.48","128.00","5","-","-","164.70","97.00"
"LEXUS","24.84","25.70","0.86","3.46","25.70","4","-","-","43.00","22.32"
"SANWARIA","0.29","0.30","0.01","3.45","0.30","36,018","-","-","0.49","0.24"
"LORDSCHLO","145.95","150.99","5.04","3.45","150.99","195","-","-","241.99","122.60"
"MBLINFRA","26.20","27.10","0.90","3.44","27.10","54","-","-","57.00","22.70"
"SCODATUBES","129.52","133.98","4.46","3.44","133.98","117","-","-","230.85","113.53"
"IMPEXFERRO","1.75","1.81","0.06","3.43","1.81","103","-","-","3.06","1.64"
"MAGNUM","21.27","22.00","0.73","3.43","22.00","102","-","-","38.29","19.21"
"ICIL","286.33","296.00","9.67","3.38","296.00","67,475","2.00","-","355.50","213.55"
"DAMODARIND","26.97","27.88","0.91","3.37","27.88","1","-","-","41.49","25.00"
"MIRCELECTR","32.88","33.98","1.10","3.35","33.98","11,696","0.04","-","36.00","10.24"
"FILATFASH","0.30","0.31","0.01","3.33","0.31","5,47,023","0.02","-","0.74","0.25"
"UNIHEALTH","303.00","312.95","9.95","3.28","312.95","1,000","0.03","-","390.60","120.00"
"CSLFINANCE","268.35","277.00","8.65","3.22","277.00","1","-","-","380.20","227.45"
"PIGL","106.55","109.98","3.43","3.22","109.98","191","-","-","289.45","97.85"
"VHLTD","136.02","140.39","4.37","3.21","140.39","1","-","-","155.36","93.05"
"EUROBOND","180.74","186.50","5.76","3.19","186.50","1","-","-","254.50","144.85"
"INDOTECH","1,444.20","1,490.00","45.80","3.17","1,490.00","445","0.07","-","2,787.40","1,148.00"
"PVSL","115.84","119.50","3.66","3.16","119.50","56","-","-","163.00","86.75"
"ACCELYA","1,357.40","1,399.90","42.50","3.13","1,399.90","3,095","0.43","-","1,527.00","1,218.50"
"OILCOUNTUB","47.70","49.19","1.49","3.12","49.19","10","-","-","100.66","43.82"
"KAKATCEM","114.36","117.90","3.54","3.10","117.90","1","-","-","179.29","106.99"
"EMMBI","95.05","98.00","2.95","3.10","98.00","1","-","-","134.80","79.96"
"POKARNA","873.05","900.00","26.95","3.09","900.00","59,613","5.37","-","1,451.65","692.60"
"TEXMOPIPES","45.45","46.85","1.40","3.08","46.85","65","-","-","68.99","43.81"
"CAMLINFINE","168.85","174.00","5.15","3.05","174.00","20,961","0.36","-","333.30","121.51"
"EXIDEIND","328.00","338.00","10.00","3.05","338.00","78,037","2.64","-","431.00","308.45"
"LYKALABS","70.55","72.70","2.15","3.05","72.70","1","-","-","157.40","67.84"
"AGRITECH","135.37","139.49","4.12","3.04","139.49","51","-","-","207.80","103.25"
"MOTISONS","12.33","12.70","0.37","3.00","12.70","20,269","0.03","-","25.50","10.62"
"VRAJ","124.27","128.00","3.73","3.00","128.00","100","-","-","196.94","119.00"
"TREJHARA","192.94","198.70","5.76","2.99","198.70","1","-","-","284.85","155.60"
"SPMLINFRA","169.93","175.00","5.07","2.98","175.00","5,139","0.09","-","323.40","136.30"
"SITINET","0.34","0.35","0.01","2.94","0.35","2,266","-","-","0.69","0.31"
"MITTAL","1.02","1.05","0.03","2.94","1.05","16,239","-","-","2.50","0.95"
"PASUPTAC","46.44","47.80","1.36","2.93","47.80","29","-","-","63.50","38.64"
"SHIVATEX","179.55","184.80","5.25","2.92","184.80","30","-","-","241.99","160.00"
"MKPL","5.22","5.37","0.15","2.87","5.37","155","-","-","9.78","4.51"
"SANATHAN","437.30","449.80","12.50","2.86","449.80","191","0.01","-","560.20","286.95"
"AMNPLST","165.24","169.95","4.71","2.85","169.95","1","-","-","310.05","155.00"
"TARSONS","204.23","210.00","5.77","2.83","210.00","535","0.01","-","458.00","188.42"
"SIKKO","4.26","4.38","0.12","2.82","4.38","1,836","-","-","6.83","3.03"
"PVP","30.53","31.39","0.86","2.82","31.39","11","-","-","39.41","18.30"
"EQUIPPP","17.95","18.45","0.50","2.79","18.45","50","-","-","24.70","16.15"
"NAGREEKCAP","25.20","25.90","0.70","2.78","25.90","1,000","-","-","42.75","23.23"
"KALYANIFRG","612.90","629.95","17.05","2.78","629.95","259","0.02","-","890.00","488.15"
"ENERGYDEV","17.71","18.20","0.49","2.77","18.20","50","-","-","29.85","16.40"
"OMINFRAL","81.72","83.95","2.23","2.73","83.95","503","-","-","149.90","71.50"
"SURYALAXMI","58.94","60.55","1.61","2.73","60.55","2","-","-","82.40","51.75"
"SAURASHCEM","73.97","75.99","2.02","2.73","75.99","1,024","0.01","-","128.40","69.05"
"SSEGL","388.45","399.00","10.55","2.72","399.00","600","0.02","-","580.00","345.05"
"ANURAS","1,255.70","1,289.70","34.00","2.71","1,289.70","3,311","0.43","-","1,374.80","601.00"
"VARROC","579.30","594.80","15.50","2.68","594.80","1,593","0.09","-","694.70","374.10"
"GEEKAYWIRE","28.73","29.49","0.76","2.65","29.49","100","-","-","46.00","27.27"
"ATLASCYCLE","95.49","98.00","2.51","2.63","98.00","1","-","-","164.37","76.10"
"DUCON","3.45","3.54","0.09","2.61","3.54","7,301","-","-","7.87","2.81"
"DANGEE","3.07","3.15","0.08","2.61","3.15","1,006","-","-","6.95","2.53"
"IRMENERGY","237.81","244.00","6.19","2.60","244.00","2,028","0.05","-","393.00","229.00"
"GOLDTECH","44.83","45.99","1.16","2.59","45.99","16","-","-","80.44","39.97"
"BBTCL","187.17","192.00","4.83","2.58","192.00","1","-","-","229.35","120.60"
"OSIAHYPER","13.93","14.29","0.36","2.58","14.29","530","-","-","33.08","11.31"
"WAAREEINDO","447.20","458.75","11.55","2.58","458.75","6,090","0.28","-","725.00","165.07"
"SHRENIK","0.39","0.40","0.01","2.56","0.40","14,820","-","-","0.78","0.37"
"AIMTRON","846.30","868.00","21.70","2.56","868.00","1,200","0.10","-","1,040.00","358.00"
"KESORAMIND","9.12","9.35","0.23","2.52","9.35","8,673","0.01","-","223.50","2.84"
"PRAKASHSTL","4.79","4.91","0.12","2.51","4.91","4,429","-","-","8.50","3.92"
"ANUHPHR","79.03","80.99","1.96","2.48","80.99","523","-","-","114.90","69.27"
"RHETAN","25.36","25.99","0.63","2.48","25.99","12,752","0.03","-","27.69","20.32"
"SYSTANGO","292.75","300.00","7.25","2.48","300.00","400","0.01","-","411.00","192.25"
"ZODIACLOTH","83.93","86.00","2.07","2.47","86.00","503","-","-","125.41","75.43"
"SADHNANIQ","6.12","6.27","0.15","2.45","6.27","135","-","-","35.16","5.59"
"SETUINFRA","0.41","0.42","0.01","2.44","0.42","1,429","-","-","1.12","0.37"
"PRAXIS","6.97","7.14","0.17","2.44","7.14","2,025","-","-","16.61","6.66"
"PRAENG","22.59","23.14","0.55","2.43","23.14","125","-","-","33.88","17.12"
"MCLOUD","23.43","24.00","0.57","2.43","24.00","5,576","0.01","-","105.42","21.20"
"NRAIL","447.15","458.00","10.85","2.43","458.00","75","-","-","514.00","205.75"
"ROSSELLIND","41.98","43.00","1.02","2.43","43.00","10","-","-","87.10","40.00"
"CCCL","18.55","19.00","0.45","2.43","19.00","13,689","0.03","-","28.87","10.84"
"HAVISHA","1.65","1.69","0.04","2.42","1.69","46","-","-","3.05","1.42"
"BETA","1,439.40","1,474.00","34.60","2.40","1,474.00","283","0.04","-","2,000.00","1,384.90"
"SIGMA","52.73","53.99","1.26","2.39","53.99","2,103","0.01","-","65.50","21.01"
"SPCENET","5.86","6.00","0.14","2.39","6.00","532","-","-","11.24","4.78"
"AGROPHOS","36.47","37.34","0.87","2.39","37.34","10","-","-","47.60","27.20"
"THEINVEST","102.36","104.78","2.42","2.36","104.78","541","0.01","-","192.33","97.50"
"AGARWALEYE","445.70","456.20","10.50","2.36","456.20","3,143","0.14","-","568.00","327.00"
"SGL","12.31","12.60","0.29","2.36","12.60","25","-","-","20.79","10.04"
"LASA","9.04","9.25","0.21","2.32","9.25","108","-","-","27.25","8.16"
"ARROWGREEN","458.45","469.00","10.55","2.30","469.00","51","-","-","817.95","411.75"
"FEL","0.44","0.45","0.01","2.27","0.45","10,208","-","-","0.68","0.34"
"LIBAS","10.24","10.47","0.23","2.25","10.47","1,925","-","-","15.70","9.56"
"STEELCAS","242.55","247.99","5.44","2.24","247.99","2,679","0.07","-","255.80","142.11"
"ZENITHSTL","5.40","5.52","0.12","2.22","5.52","515","-","-","10.33","4.41"
"STLNETWORK","21.13","21.60","0.47","2.22","21.60","5,668","0.01","-","35.40","18.00"
"JOCIL","127.19","129.99","2.80","2.20","129.99","1","-","-","197.90","120.65"
"ABCAPITAL","345.45","353.00","7.55","2.19","353.00","52,970","1.87","-","369.30","149.01"
"SAHASRA","274.05","279.95","5.90","2.15","279.95","400","0.01","-","505.00","227.50"
