"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"SILGO-RE1","10.30","14.28","3.98","38.64","14.28","1,800","-","-","11.59","3.00"
"OMAXAUTO","97.16","116.59","19.43","20.00","116.59","86,996","1.01","-","165.80","77.55"
"NAGREEKCAP","25.08","29.70","4.62","18.42","29.70","1","-","-","42.75","23.23"
"RADAAN","3.07","3.39","0.32","10.42","3.39","416","-","-","5.37","2.82"
"HYBRIDFIN","20.94","23.03","2.09","9.98","23.03","972","-","-","33.62","10.05"
"SJS","1,618.70","1,779.00","160.30","9.90","1,779.00","2,797","0.50","-","1,869.00","808.15"
"NATCAPSUQ","163.31","178.99","15.68","9.60","178.99","100","-","-","296.00","154.99"
"MKPL","5.52","5.99","0.47","8.51","5.99","358","-","-","9.78","4.52"
"SHAH","4.90","5.31","0.41","8.37","5.31","64,824","0.03","-","5.55","2.80"
"OAL","267.70","290.00","22.30","8.33","290.00","2,601","0.08","-","432.00","251.00"
"NBIFIN","2,103.20","2,275.00","171.80","8.17","2,275.00","9","-","-","3,320.90","2,050.00"
"MAHLOG","295.40","318.50","23.10","7.82","318.50","12,992","0.41","-","381.82","216.55"
"REPL","94.54","101.75","7.21","7.63","101.75","1","-","-","313.00","87.27"
"LIBAS","9.66","10.38","0.72","7.45","10.38","1","-","-","15.70","9.56"
"GTECJAINX","21.29","22.80","1.51","7.09","22.80","1","-","-","37.00","18.30"
"AAKASH","7.84","8.38","0.54","6.89","8.38","534","-","-","13.79","7.06"
"AVG","140.38","150.00","9.62","6.85","150.00","1","-","-","340.00","133.05"
"WSI","76.58","81.80","5.22","6.82","81.80","5,864","0.05","-","105.40","62.60"
"COOLCAPS","64.85","68.95","4.10","6.32","68.95","1,250","0.01","-","99.50","57.97"
"FIBERWEB","32.96","35.00","2.04","6.19","35.00","25","-","-","59.26","31.20"
"DBOL","105.56","111.90","6.34","6.01","111.90","26,001","0.29","-","108.99","57.34"
"GOLDTECH","43.21","45.80","2.59","5.99","45.80","17","-","-","80.44","39.97"
"VAIBHAVGBL","227.55","241.00","13.45","5.91","241.00","56,828","1.37","-","302.55","195.00"
"3PLAND","34.73","36.78","2.05","5.90","36.78","3","-","-","58.79","33.40"
"WEIZMANIND","80.23","84.90","4.67","5.82","84.90","5","-","-","142.00","80.11"
"AKI","6.10","6.45","0.35","5.74","6.45","201","-","-","16.05","5.70"
"MMP","246.05","260.00","13.95","5.67","260.00","22","-","-","318.00","218.00"
"HINDCOMPOS","405.25","428.00","22.75","5.61","428.00","1","-","-","537.75","401.75"
"AGIIL","255.80","270.00","14.20","5.55","270.00","1,05,019","2.84","-","308.80","137.00"
"BANARBEADS","111.79","117.98","6.19","5.54","117.98","10","-","-","164.70","97.00"
"RACLGEAR","1,004.90","1,060.00","55.10","5.48","1,060.00","1,132","0.12","-","1,347.80","658.05"
"NEXTMEDIA","5.29","5.58","0.29","5.48","5.58","101","-","-","8.48","5.09"
"KITEX","178.49","188.25","9.76","5.47","188.25","69,099","1.30","-","324.42","138.20"
"SUNTECK","370.30","389.90","19.60","5.29","389.90","5,349","0.21","-","507.40","347.00"
"KRITIKA","6.50","6.84","0.34","5.23","6.84","31","-","-","11.22","6.12"
"AIRAN","13.80","14.50","0.70","5.07","14.50","1,004","-","-","33.51","13.58"
"UMESLTD","4.74","4.98","0.24","5.06","4.98","130","-","-","7.43","4.16"
"SETUINFRA","0.40","0.42","0.02","5.00","0.42","4,747","-","-","1.12","0.37"
"BHAGYANGR","167.29","175.65","8.36","5.00","175.65","6,266","0.11","-","186.64","65.00"
"PURPLEUTED","324.25","340.45","16.20","5.00","340.45","500","0.02","-","587.95","119.55"
"TECHERA","196.50","206.30","9.80","4.99","206.30","3,200","0.07","-","325.70","115.60"
"POLYSIL","221.50","232.55","11.05","4.99","232.55","1,000","0.02","-","356.75","14.25"
"BLUECOAST","26.65","27.98","1.33","4.99","27.98","175","-","-","86.31","23.53"
"NEELAM","12.05","12.65","0.60","4.98","12.65","6,000","0.01","-","43.05","10.95"
"COASTCORP","41.56","43.62","2.06","4.96","43.62","1,329","0.01","-","50.82","30.01"
"SUNLITE","351.55","368.95","17.40","4.95","368.95","3,000","0.11","-","415.50","91.00"
"VIVIMEDLAB","7.68","8.06","0.38","4.95","8.06","12,712","0.01","-","29.40","6.72"
"NIRMAN","55.80","58.55","2.75","4.93","58.55","600","-","-","390.35","46.75"
"TOTAL","66.53","69.80","3.27","4.92","69.80","1","-","-","93.50","61.50"
"GANESHIN","93.65","98.25","4.60","4.91","98.25","4,800","0.05","-","279.80","83.40"
"NOIDATOLL","3.90","4.09","0.19","4.87","4.09","711","-","-","5.63","2.57"
"MIRZAINT","34.32","35.98","1.66","4.84","35.98","6,161","0.02","-","44.64","25.03"
