"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"MFML","23.38","27.47","4.09","17.49","27.47","12","-","-","41.55","20.99"
"ARENTERP","39.52","46.00","6.48","16.40","46.00","1","-","-","62.99","37.17"
"KHAITANLTD","95.27","107.99","12.72","13.35","107.99","80","-","-","167.50","71.56"
"DCMFINSERV","4.00","4.40","0.40","10.00","4.40","3","-","-","9.21","3.76"
"K2INFRA","59.75","65.70","5.95","9.96","65.70","600","-","-","140.60","52.50"
"GREENPOWER","10.39","11.40","1.01","9.72","11.40","1,08,469","0.12","-","16.42","9.68"
"COUNCODOS","5.19","5.68","0.49","9.44","5.68","59","-","-","11.92","4.84"
"AKASH","24.60","26.90","2.30","9.35","26.90","40","-","-","36.00","23.00"
"RKDL","19.95","21.80","1.85","9.27","21.80","21","-","-","34.58","19.02"
"AKI","6.05","6.60","0.55","9.09","6.60","329","-","-","16.05","5.70"
"SERVOTECH","59.05","64.40","5.35","9.06","64.40","30,200","0.19","-","168.50","57.51"
"PARASPETRO","2.68","2.92","0.24","8.96","2.92","1,14,174","0.03","-","3.26","1.53"
"SUVIDHAA","3.13","3.40","0.27","8.63","3.40","13,074","-","-","6.57","2.57"
"AAKASH","7.81","8.48","0.67","8.58","8.48","987","-","-","13.79","7.06"
"SHEKHAWATI","14.30","15.49","1.19","8.32","15.49","507","-","-","29.49","12.27"
"ESSENTIA","1.72","1.86","0.14","8.14","1.86","88,636","0.02","-","3.24","1.16"
"KEEPLEARN","2.34","2.53","0.19","8.12","2.53","2,077","-","-","4.74","2.01"
"ADROITINFO","9.25","9.99","0.74","8.00","9.99","10","-","-","18.95","9.00"
"ABMINTLLTD","35.17","37.90","2.73","7.76","37.90","10","-","-","78.21","34.56"
"SHRADHA","39.74","42.68","2.94","7.40","42.68","2","-","-","71.98","34.65"
"BALAJEE","32.47","34.80","2.33","7.18","34.80","12","-","-","68.50","32.01"
"IFCI","55.09","59.00","3.91","7.10","59.00","9,61,633","5.67","-","74.50","36.20"
"KANPRPLA","172.23","184.00","11.77","6.83","184.00","50","-","-","249.50","104.50"
"KILITCH","313.95","335.00","21.05","6.70","335.00","47","-","-","500.00","294.07"
"ABCOTS","421.95","450.00","28.05","6.65","450.00","1","-","-","505.50","370.10"
"NOVAAGRI","33.83","36.00","2.17","6.41","36.00","7,399","0.03","-","70.10","32.00"
"BRNL","21.80","23.18","1.38","6.33","23.18","1,542","-","-","45.74","17.40"
"SARVESHWAR","4.02","4.27","0.25","6.22","4.27","24,811","0.01","-","9.00","3.82"
"MITCON","60.30","64.00","3.70","6.14","64.00","1","-","-","102.90","53.11"
"DTIL","145.18","153.95","8.77","6.04","153.95","1","-","-","230.05","135.20"
"CSSL","154.80","164.00","9.20","5.94","164.00","1,000","0.02","-","163.00","96.75"
"VINEETLAB","32.78","34.70","1.92","5.86","34.70","1","-","-","45.21","22.28"
"BLBLIMITED","13.55","14.33","0.78","5.76","14.33","1,986","-","-","21.30","12.00"
"ROSSELLIND","43.35","45.84","2.49","5.74","45.84","100","-","-","87.10","40.00"
"GVPTECH","7.85","8.30","0.45","5.73","8.30","10","-","-","12.00","7.42"
"LAL","7.72","8.16","0.44","5.70","8.16","1","-","-","16.90","6.45"
"ARISINFRA","109.74","115.99","6.25","5.70","115.99","24,474","0.28","-","208.50","99.51"
"LATTEYS","20.91","22.10","1.19","5.69","22.10","2,005","-","-","37.00","16.00"
"REPL","112.64","119.00","6.36","5.65","119.00","35","-","-","313.00","87.27"
"BSL","139.99","147.80","7.81","5.58","147.80","10","-","-","212.00","127.30"
"NILASPACES","14.30","15.09","0.79","5.52","15.09","10,120","0.02","-","20.47","10.21"
"EUROBOND","175.44","185.00","9.56","5.45","185.00","30","-","-","254.50","144.85"
"NIPPOBATRY","372.95","393.00","20.05","5.38","393.00","1","-","-","550.00","370.00"
"SINTERCOM","93.69","98.69","5.00","5.34","98.69","9","-","-","154.90","82.85"
"CORALFINAC","34.95","36.79","1.84","5.26","36.79","60","-","-","52.49","33.70"
"PVP","30.16","31.70","1.54","5.11","31.70","182","-","-","39.41","18.30"
"SHEMAROO","97.03","101.98","4.95","5.10","101.98","1","-","-","161.00","88.80"
"COMPUSOFT","14.18","14.90","0.72","5.08","14.90","6","-","-","26.00","13.20"
"MANAKSTEEL","58.41","61.33","2.92","5.00","61.33","2,851","0.02","-","77.78","43.05"
"SHANTI","7.00","7.35","0.35","5.00","7.35","1,501","-","-","23.87","6.72"
"UEL","117.68","123.56","5.88","5.00","123.56","9","-","-","-","-"
