"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"MFML","23.98","28.70","4.72","19.68","28.70","1","-","-","41.55","20.99"
"SBGLP","33.53","40.00","6.47","19.30","40.00","1,053","-","-","120.90","24.95"
"PARASPETRO","1.87","2.19","0.32","17.11","2.19","74,870","0.02","-","3.26","1.53"
"MITCON","58.21","64.50","6.29","10.81","64.50","2","-","-","102.90","53.11"
"MBLINFRA","25.80","28.30","2.50","9.69","28.30","5,210","0.01","-","57.00","23.65"
"PRECOT","330.90","360.70","29.80","9.01","360.70","1","-","-","643.65","300.05"
"SEMAC","249.55","271.70","22.15","8.88","271.70","1","-","-","568.90","240.05"
"ASAL","460.10","500.00","39.90","8.67","500.00","1,713","0.09","-","654.65","393.60"
"NRL","52.76","56.99","4.23","8.02","56.99","1","-","-","106.49","48.80"
"MANORAMA","1,277.50","1,379.90","102.40","8.02","1,379.90","26,616","3.67","-","1,760.00","740.50"
"GLAND","1,689.70","1,824.90","135.20","8.00","1,824.90","10,637","1.94","-","2,131.00","1,277.80"
"BALKRISHNA","16.63","17.90","1.27","7.64","17.90","50","-","-","25.97","15.67"
"OMAXAUTO","116.59","125.00","8.41","7.21","125.00","30,203","0.38","-","165.80","77.55"
"AMBICAAGAR","23.53","25.00","1.47","6.25","25.00","501","-","-","36.95","22.90"
"LPDC","6.44","6.83","0.39","6.06","6.83","15","-","-","10.16","6.01"
"VIVIDHA","0.56","0.59","0.03","5.36","0.59","48,498","-","-","1.05","0.56"
"SHAH","4.94","5.20","0.26","5.26","5.20","77,877","0.04","-","5.55","2.80"
"GVT&D","2,905.00","3,056.00","151.00","5.20","3,056.00","15,694","4.80","-","3,323.80","1,254.00"
"SRD","56.46","59.30","2.84","5.03","59.30","10","-","-","91.00","52.00"
"MICEL","38.97","40.92","1.95","5.00","40.92","1,41,229","0.58","-","84.00","33.31"
"BGRENERGY","337.25","354.10","16.85","5.00","354.10","2,457","0.09","-","490.80","69.05"
"BHAGYANGR","175.65","184.43","8.78","5.00","184.43","4,427","0.08","-","186.64","65.00"
"BORANA","362.30","380.40","18.10","5.00","380.40","6,861","0.26","-","362.30","211.00"
"HALDER","280.00","294.00","14.00","5.00","294.00","5","-","-","291.00","267.10"
"JITFINFRA","248.30","260.70","12.40","4.99","260.70","3,290","0.09","-","616.25","222.35"
"TECHERA","206.30","216.60","10.30","4.99","216.60","11,200","0.24","-","325.70","115.60"
"PURPLEUTED","340.45","357.45","17.00","4.99","357.45","3,500","0.13","-","587.95","119.55"
"GANESHIN","98.30","103.20","4.90","4.98","103.20","2,400","0.02","-","279.80","83.40"
"EXIMROUTES","216.70","227.50","10.80","4.98","227.50","1,600","0.04","-","281.90","104.50"
"ESSARSHPNG","24.58","25.80","1.22","4.96","25.80","24,224","0.06","-","43.26","21.50"
"GENSOL","25.38","26.63","1.25","4.93","26.63","43,937","0.12","-","760.45","20.50"
"KEYFINSERV","284.85","298.90","14.05","4.93","298.90","3","-","-","479.00","170.10"
"CYBERMEDIA","15.84","16.62","0.78","4.92","16.62","1","-","-","23.58","11.00"
"SETUINFRA","0.41","0.43","0.02","4.88","0.43","738","-","-","1.12","0.37"
"VIAZ","64.50","67.65","3.15","4.88","67.65","2,000","0.01","-","99.55","49.30"
"MAXVOLT","327.60","343.55","15.95","4.87","343.55","4,000","0.14","-","509.00","145.05"
"COASTCORP","43.63","45.75","2.12","4.86","45.75","1,109","0.01","-","50.82","30.01"
"APOLLO","241.15","252.85","11.70","4.85","252.85","3,41,723","8.64","-","354.70","103.77"
"NAGREEKCAP","25.76","27.00","1.24","4.81","27.00","1","-","-","42.75","23.23"
"ATAM","73.09","76.52","3.43","4.69","76.52","20","-","-","131.50","70.00"
"STEL","418.45","438.00","19.55","4.67","438.00","165","0.01","-","633.30","310.10"
"TNTELE","9.00","9.42","0.42","4.67","9.42","1","-","-","26.00","7.94"
"NIKITA","114.70","120.00","5.30","4.62","120.00","3,600","0.04","-","156.00","77.15"
"IMPEXFERRO","1.74","1.82","0.08","4.60","1.82","376","-","-","3.06","1.65"
"SOMANYCERA","387.15","404.95","17.80","4.60","404.95","1,637","0.07","-","624.00","372.10"
"HINDCOPPER","633.40","662.50","29.10","4.59","662.50","4,31,085","28.56","-","643.00","183.82"
"SIKKO","4.14","4.33","0.19","4.59","4.33","9,032","-","-","6.83","3.03"
"TARAPUR","25.53","26.70","1.17","4.58","26.70","159","-","-","40.80","21.50"
"SMCGLOBAL","75.71","79.16","3.45","4.56","79.16","33,208","0.26","-","94.90","50.50"
"SUNLITE","369.10","385.70","16.60","4.50","385.70","3,000","0.12","-","415.50","91.00"
"BLKASHYAP","48.11","50.27","2.16","4.49","50.27","15,308","0.08","-","80.01","45.00"
"ZENITHEXPO","196.23","205.00","8.77","4.47","205.00","10","-","-","360.70","181.50"
"VIRINCHI","20.60","21.50","0.90","4.37","21.50","452","-","-","32.69","19.28"
"IL&FSTRANS","2.78","2.90","0.12","4.32","2.90","9","-","-","4.84","2.42"
"KSR","28.72","29.96","1.24","4.32","29.96","1","-","-","34.95","14.04"
"CTE","32.49","33.88","1.39","4.28","33.88","200","-","-","89.29","32.20"
"LOVABLE","71.70","74.75","3.05","4.25","74.75","5,000","0.04","-","111.90","70.00"
"BRIGHOTEL","60.47","63.00","2.53","4.18","63.00","14,726","0.09","-","91.77","58.02"
"FMNL","8.26","8.60","0.34","4.12","8.60","13","-","-","22.51","7.30"
"AKI","6.32","6.58","0.26","4.11","6.58","151","-","-","16.05","5.70"
"STLTECH","103.48","107.70","4.22","4.08","107.70","1,66,728","1.80","-","140.40","58.86"
"AURIGROW","0.50","0.52","0.02","4.00","0.52","52,02,184","0.27","-","1.03","0.45"
"ALKALI","69.11","71.80","2.69","3.89","71.80","5","-","-","117.79","66.90"
"SANWARIA","0.26","0.27","0.01","3.85","0.27","2,001","-","-","0.49","0.24"
"SWARAJ","259.05","269.00","9.95","3.84","269.00","1,000","0.03","-","287.45","138.50"
"SHEKHAWATI","13.48","13.99","0.51","3.78","13.99","2","-","-","29.74","12.27"
"AEROFLEX","166.77","173.00","6.23","3.74","173.00","29,074","0.50","-","272.00","148.01"
"JYOTIGLOBL","44.35","46.00","1.65","3.72","46.00","2,000","0.01","-","77.75","35.45"
"NITIRAJ","183.21","189.95","6.74","3.68","189.95","3","-","-","421.60","171.00"
"GLOBE","2.75","2.85","0.10","3.64","2.85","510","-","-","4.37","2.02"
"BASML","23.15","23.99","0.84","3.63","23.99","901","-","-","46.12","19.81"
"MSUMI","43.32","44.88","1.56","3.60","44.88","1,56,552","0.70","-","53.59","30.72"
"NAVKARURB","1.39","1.44","0.05","3.60","1.44","8,994","-","-","4.28","1.17"
"EPACKPEB","190.15","197.00","6.85","3.60","197.00","34,525","0.68","-","344.00","174.90"
"ASIANHOTNR","308.25","319.30","11.05","3.58","319.30","1","-","-","419.50","267.90"
"RCOM","1.12","1.16","0.04","3.57","1.16","1,84,735","0.02","-","1.95","0.95"
"CUBEXTUB","108.98","112.80","3.82","3.51","112.80","5,559","0.06","-","143.69","67.11"
"ROSSELLIND","42.79","44.29","1.50","3.51","44.29","636","-","-","87.10","40.00"
"PRAXIS","7.12","7.37","0.25","3.51","7.37","1","-","-","17.30","6.97"
"ORCHASP","2.57","2.66","0.09","3.50","2.66","1,900","-","-","4.16","2.11"
"ARCHIDPLY","83.10","86.00","2.90","3.49","86.00","3","-","-","120.40","79.50"
"FILATFASH","0.29","0.30","0.01","3.45","0.30","1,78,794","0.01","-","0.74","0.25"
"SATIN","158.55","164.00","5.45","3.44","164.00","20,246","0.33","-","175.90","131.80"
"MKPL","5.61","5.80","0.19","3.39","5.80","1,444","-","-","9.78","4.52"
"CROWN","110.32","113.98","3.66","3.32","113.98","27","-","-","221.80","108.45"
"ASAHISONG","229.35","236.95","7.60","3.31","236.95","111","-","-","491.95","220.00"
"TRU","6.67","6.89","0.22","3.30","6.89","610","-","-","20.84","6.45"
"VIVIMEDLAB","8.02","8.28","0.26","3.24","8.28","426","-","-","29.40","6.72"
"SAHAJSOLAR","145.35","150.00","4.65","3.20","150.00","400","0.01","-","323.55","138.15"
"AKSHOPTFBR","5.38","5.55","0.17","3.16","5.55","100","-","-","12.95","4.65"
"ARROWGREEN","436.20","450.00","13.80","3.16","450.00","593","0.03","-","817.95","411.75"
"BVCL","44.39","45.79","1.40","3.15","45.79","400","-","-","69.99","34.06"
"SUVIDHAA","3.17","3.27","0.10","3.15","3.27","603","-","-","6.60","3.06"
"SUNDRMBRAK","576.85","595.00","18.15","3.15","595.00","2","-","-","1,161.90","571.00"
