"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"EXCEL","0.35","0.40","0.05","14.29","0.40","82,626","33,050.40","-","0.75","0.20"
"VISESHINFO","0.40","0.45","0.05","12.50","0.45","136,801","61,560.45","-","0.85","0.35"
"RESPONIND","256.30","282.95","26.65","10.40","282.95","23,819","6,739,586.05","-","258.75","100.95"
"LPDC","6.70","7.25","0.55","8.21","7.25","1,000","7,250.00","-","8.65","5.10"
"KAYNES","1,911.55","2,051.05","139.50","7.30","2,051.05","5,216","10,698,276.80","-","2,149.95","666.80"
"UMESLTD","5.55","5.95","0.40","7.21","5.95","30,249","179,981.55","-","6.10","3.05"
"CENTEXT","17.90","19.10","1.20","6.70","19.10","187,063","3,572,903.30","-","17.90","7.60"
"FIDEL","119.15","126.70","7.55","6.34","126.70","9,000","1,140,300.00","-","119.15","59.10"
"NILAINFRA","6.70","7.10","0.40","5.97","7.10","345,796","2,455,151.60","-","8.70","4.40"
"USK","38.80","40.95","2.15","5.54","40.95","127,450","5,219,077.50","-","38.85","27.30"
"BGRENERGY","73.40","77.40","4.00","5.45","77.40","36,089","2,793,288.60","-","88.50","44.25"
"TAKE","24.20","24.55","1.25","5.36","-","-","-","-","28.85","12.75"
"SESHAPAPER","365.30","384.40","19.10","5.23","384.40","22,982","8,834,280.80","-","368.95","220.10"
"FEL","1.00","1.05","0.05","5.00","1.05","28,105","29,510.25","-","2.20","0.45"
"FORCEMOT","3,457.00","3,629.85","172.85","5.00","3,629.85","4,780","17,350,683.00","-","3,663.00","1,085.20"
"VICEROY","3.00","3.15","0.15","5.00","3.15","2,000","6,300.00","-","3.00","1.70"
"GIRIRAJ","915.05","960.80","45.75","5.00","960.80","600","576,480.00","-","915.05","108.00"
"KALYANIFRG","468.05","491.45","23.40","5.00","491.45","427","209,849.15","-","468.05","185.60"
"AARTECH","164.05","172.25","8.20","5.00","172.25","634","109,206.50","-","166.00","95.05"
"20MICRONS","133.05","139.70","6.65","5.00","139.70","41,755","5,833,173.50","-","133.05","63.05"
"AURIONPRO","1,175.80","1,234.55","58.75","5.00","1,234.55","3,888","4,799,930.40","-","1,188.20","290.30"
"BIRLACABLE","403.50","423.65","20.15","4.99","423.65","22,034","9,334,704.10","-","403.50","119.20"
"MAANALU","82.15","86.25","4.10","4.99","86.25","4,439","382,863.75","-","97.30","37.00"
"WANBURY","60.15","63.15","3.00","4.99","63.15","810","51,151.50","-","74.30","33.30"
"CADSYS","155.70","163.45","7.75","4.98","163.45","8,000","1,307,600.00","-","155.70","28.80"
"RELCAPITAL","11.05","11.60","0.55","4.98","11.60","181,154","2,101,386.40","-","18.45","7.65"
"AAREYDRUGS","53.25","55.90","2.65","4.98","55.90","3,001","167,755.90","-","55.10","22.00"
"DIGJAMLMTD","99.65","104.60","4.95","4.97","104.60","3,249","339,845.40","-","157.70","78.40"
"AISL","62.45","65.55","3.10","4.96","65.55","1,200","78,660.00","-","66.75","39.25"
"KSHITIJPOL","6.05","6.35","0.30","4.96","6.35","2,914","18,503.90","-","70.80","4.75"
"MMP","238.20","250.00","11.80","4.95","-","-","-","-","250.10","92.40"
"INNOVATIVE","5.05","5.30","0.25","4.95","5.30","6,000","31,800.00","-","12.75","2.70"
"DIGISPICE","36.65","38.45","1.80","4.91","38.45","19,119","735,125.55","-","47.50","17.75"
"NEXTMEDIA","5.10","5.35","0.25","4.90","5.35","1,442","7,714.70","-","8.55","3.80"
"VIPULLTD","15.55","16.30","0.75","4.82","16.30","17","277.10","-","19.00","10.05"
"FLEXITUFF","38.45","40.30","1.85","4.81","40.30","1","40.30","-","46.60","21.50"
"UNITECH","2.10","2.20","0.10","4.76","2.20","44,451","97,792.20","-","2.40","1.10"
"GOLDTECH","87.85","92.00","4.15","4.72","92.00","2,000","184,000.00","-","117.95","36.55"
"KAVVERITEL","9.55","10.00","0.45","4.71","10.00","501","5,010.00","-","12.10","4.40"
"PRAKASHSTL","6.40","6.70","0.30","4.69","6.70","53,160","356,172.00","-","7.30","3.20"
