Stocks,Market Cap,Sector,Company Name,Nifty 50,BANKNIFTY,Nifty F&O,FINNIFTY,NIFTY AUTO,NIFTY IT,NIFTY FMCG,NIFTY METAL,NIFTY PHARMA,NIFTY OIL & GAS
ABB,Large Cap,Capital Goods,ABB India Ltd.,,,NIFTY F&O,,,,,,,
ACC,Large Cap,Construction Materials,ACC Ltd.,,,NIFTY F&O,,,,,,,
ADANIENT,Large Cap,Metals & Mining,Adani Enterprises Ltd.,Nifty 50,,NIFTY F&O,,,,,NIFTY METAL,,
ADANIGREEN,Large Cap,Power,Adani Green Energy Ltd.,,,,,,,,,,
ADANIPORTS,Large Cap,Services,Adani Ports and Special Economic Zone Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
ADANITRANS,Large Cap,Power,Adani Transmission Ltd.,,,,,,,,,,
AMBUJACEM,Large Cap,Construction Materials,Ambuja Cements Ltd.,,,NIFTY F&O,,,,,,,
APOLLOHOSP,Large Cap,Healthcare,Apollo Hospitals Enterprise Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
ASIANPAINT,Large Cap,Consumer Durables,Asian Paints Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
ATGL,Large Cap,Oil Gas & Consumable Fuels,Adani Total Gas Ltd.,,,,,,,,,,NIFTY OIL & GAS
AWL,Large Cap,Fast Moving Consumer Goods,Adani Wilmar Ltd.,,,,,,,,,,
AXISBANK,Large Cap,Financial Services,Axis Bank Ltd.,Nifty 50,BANKNIFTY,NIFTY F&O,FINNIFTY,,,,,,
BAJAJ-AUTO,Large Cap,Automobile and Auto Components,Bajaj Auto Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
BAJAJFINSV,Large Cap,Financial Services,Bajaj Finserv Ltd.,Nifty 50,,NIFTY F&O,FINNIFTY,,,,,,
BAJAJHLDNG,Large Cap,Financial Services,Bajaj Holdings & Investment Ltd.,,,,,,,,,,
BAJFINANCE,Large Cap,Financial Services,Bajaj Finance Ltd.,Nifty 50,,NIFTY F&O,FINNIFTY,,,,,,
BANKBARODA,Large Cap,Financial Services,Bank of Baroda,,BANKNIFTY,NIFTY F&O,,,,,,,
BEL,Large Cap,Capital Goods,Bharat Electronics Ltd.,,,NIFTY F&O,,,,,,,
BERGEPAINT,Large Cap,Consumer Durables,Berger Paints India Ltd.,,,NIFTY F&O,,,,,,,
BHARTIARTL,Large Cap,Telecommunication,Bharti Airtel Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
BOSCHLTD,Large Cap,Automobile and Auto Components,Bosch Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
BPCL,Large Cap,Oil Gas & Consumable Fuels,Bharat Petroleum Corporation Ltd.,Nifty 50,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
BRITANNIA,Large Cap,Fast Moving Consumer Goods,Britannia Industries Ltd.,Nifty 50,,NIFTY F&O,,,,NIFTY FMCG,,,
CANBK,Large Cap,Financial Services,Canara Bank,,,NIFTY F&O,,,,,,,
CHOLAFIN,Large Cap,Financial Services,Cholamandalam Investment and Finance Company Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
CIPLA,Large Cap,Healthcare,Cipla Ltd.,Nifty 50,,NIFTY F&O,,,,,,NIFTY PHARMA,
COALINDIA,Large Cap,Oil Gas & Consumable Fuels,Coal India Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
COLPAL,Large Cap,Fast Moving Consumer Goods,Colgate Palmolive (India) Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
DABUR,Large Cap,Fast Moving Consumer Goods,Dabur India Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
DIVISLAB,Large Cap,Healthcare,Divi's Laboratories Ltd.,Nifty 50,,NIFTY F&O,,,,,,NIFTY PHARMA,
DLF,Large Cap,Realty,DLF Ltd.,,,NIFTY F&O,,,,,,,
DMART,Large Cap,Consumer Services,Avenue Supermarts Ltd.,,,,,,,,,,
DRREDDY,Large Cap,Healthcare,Dr. Reddy's Laboratories Ltd.,Nifty 50,,NIFTY F&O,,,,,,NIFTY PHARMA,
EICHERMOT,Large Cap,Automobile and Auto Components,Eicher Motors Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
GAIL,Large Cap,Oil Gas & Consumable Fuels,GAIL (India) Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
GODREJCP,Large Cap,Fast Moving Consumer Goods,Godrej Consumer Products Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
GRASIM,Large Cap,Construction Materials,Grasim Industries Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
HAL,Large Cap,Capital Goods,Hindustan Aeronautics Ltd.,,,NIFTY F&O,,,,,,,
HAVELLS,Large Cap,Consumer Durables,Havells India Ltd.,,,NIFTY F&O,,,,,,,
HCLTECH,Large Cap,Information Technology,HCL Technologies Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
HDFCAMC,Large Cap,Financial Services,HDFC Asset Management Company Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
HDFCBANK,Large Cap,Financial Services,HDFC Bank Ltd.,Nifty 50,BANKNIFTY,NIFTY F&O,FINNIFTY,,,,,,
HDFCLIFE,Large Cap,Financial Services,HDFC Life Insurance Company Ltd.,Nifty 50,,NIFTY F&O,FINNIFTY,,,,,,
HEROMOTOCO,Large Cap,Automobile and Auto Components,Hero MotoCorp Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
HINDALCO,Large Cap,Metals & Mining,Hindalco Industries Ltd.,Nifty 50,,NIFTY F&O,,,,,NIFTY METAL,,
HINDUNILVR,Large Cap,Fast Moving Consumer Goods,Hindustan Unilever Ltd.,Nifty 50,,NIFTY F&O,,,,NIFTY FMCG,,,
ICICIBANK,Large Cap,Financial Services,ICICI Bank Ltd.,Nifty 50,BANKNIFTY,NIFTY F&O,FINNIFTY,,,,,,
ICICIGI,Large Cap,Financial Services,ICICI Lombard General Insurance Company Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
ICICIPRULI,Large Cap,Financial Services,ICICI Prudential Life Insurance Company Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
INDIGO,Large Cap,Services,InterGlobe Aviation Ltd.,,,NIFTY F&O,,,,,,,
INDUSINDBK,Large Cap,Financial Services,IndusInd Bank Ltd.,Nifty 50,BANKNIFTY,NIFTY F&O,,,,,,,
INDUSTOWER,Large Cap,Telecommunication,Indus Towers Ltd.,,,NIFTY F&O,,,,,,,
INFY,Large Cap,Information Technology,Infosys Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
IOC,Large Cap,Oil Gas & Consumable Fuels,Indian Oil Corporation Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
IRCTC,Large Cap,Consumer Services,Indian Railway Catering And Tourism Corporation Ltd.,,,NIFTY F&O,,,,,,,
ITC,Large Cap,Fast Moving Consumer Goods,ITC Ltd.,Nifty 50,,NIFTY F&O,,,,NIFTY FMCG,,,
JSWSTEEL,Large Cap,Metals & Mining,JSW Steel Ltd.,Nifty 50,,NIFTY F&O,,,,,NIFTY METAL,,
KOTAKBANK,Large Cap,Financial Services,Kotak Mahindra Bank Ltd.,Nifty 50,BANKNIFTY,NIFTY F&O,FINNIFTY,,,,,,
LICI,Large Cap,Financial Services,Life Insurance Corporation of India,,,,,,,,,,
LT,Large Cap,Construction,Larsen & Toubro Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
LTIM,Large Cap,Information Technology,LTIMindtree Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
M&M,Large Cap,Automobile and Auto Components,Mahindra & Mahindra Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
MARICO,Large Cap,Fast Moving Consumer Goods,Marico Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
MARUTI,Large Cap,Automobile and Auto Components,Maruti Suzuki India Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
MCDOWELL-N,Large Cap,Fast Moving Consumer Goods,United Spirits Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
MOTHERSON,Large Cap,Automobile and Auto Components,Samvardhana Motherson International Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
MUTHOOTFIN,Large Cap,Financial Services,Muthoot Finance Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
NAUKRI,Large Cap,Consumer Services,Info Edge (India) Ltd.,,,NIFTY F&O,,,,,,,
NESTLEIND,Large Cap,Fast Moving Consumer Goods,Nestle India Ltd.,Nifty 50,,NIFTY F&O,,,,NIFTY FMCG,,,
NTPC,Large Cap,Power,NTPC Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
NYKAA,Large Cap,Consumer Services,FSN E-Commerce Ventures Ltd.,,,,,,,,,,
ONGC,Large Cap,Oil Gas & Consumable Fuels,Oil & Natural Gas Corporation Ltd.,Nifty 50,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
PAGEIND,Large Cap,Textiles,Page Industries Ltd.,,,NIFTY F&O,,,,,,,
PGHH,Large Cap,Fast Moving Consumer Goods,Procter & Gamble Hygiene & Health Care Ltd.,,,,,,,NIFTY FMCG,,,
PIDILITIND,Large Cap,Chemicals,Pidilite Industries Ltd.,,,NIFTY F&O,,,,,,,
PIIND,Large Cap,Chemicals,PI Industries Ltd.,,,NIFTY F&O,,,,,,,
POWERGRID,Large Cap,Power,Power Grid Corporation of India Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
RELIANCE,Large Cap,Oil Gas & Consumable Fuels,Reliance Industries Ltd.,Nifty 50,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
SBICARD,Large Cap,Financial Services,SBI Cards and Payment Services Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
SBILIFE,Large Cap,Financial Services,SBI Life Insurance Company Ltd.,Nifty 50,,NIFTY F&O,FINNIFTY,,,,,,
SBIN,Large Cap,Financial Services,State Bank of India,Nifty 50,BANKNIFTY,NIFTY F&O,FINNIFTY,,,,,,
SHREECEM,Large Cap,Construction Materials,Shree Cement Ltd.,,,NIFTY F&O,,,,,,,
SIEMENS,Large Cap,Capital Goods,Siemens Ltd.,,,NIFTY F&O,,,,,,,
SRF,Large Cap,Chemicals,SRF Ltd.,,,NIFTY F&O,,,,,,,
SUNPHARMA,Large Cap,Healthcare,Sun Pharmaceutical Industries Ltd.,Nifty 50,,NIFTY F&O,,,,,,NIFTY PHARMA,
TATACONSUM,Large Cap,Fast Moving Consumer Goods,Tata Consumer Products Ltd.,Nifty 50,,NIFTY F&O,,,,NIFTY FMCG,,,
TATAMOTORS,Large Cap,Automobile and Auto Components,Tata Motors Ltd.,Nifty 50,,NIFTY F&O,,NIFTY AUTO,,,,,
TATAPOWER,Large Cap,Power,Tata Power Co. Ltd.,,,NIFTY F&O,,,,,,,
TATASTEEL,Large Cap,Metals & Mining,Tata Steel Ltd.,Nifty 50,,NIFTY F&O,,,,,NIFTY METAL,,
TCS,Large Cap,Information Technology,Tata Consultancy Services Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
TECHM,Large Cap,Information Technology,Tech Mahindra Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
TITAN,Large Cap,Consumer Durables,Titan Company Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
TORNTPHARM,Large Cap,Healthcare,Torrent Pharmaceuticals Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
ULTRACEMCO,Large Cap,Construction Materials,UltraTech Cement Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
UPL,Large Cap,Chemicals,UPL Ltd.,Nifty 50,,NIFTY F&O,,,,,,,
VBL,Large Cap,Fast Moving Consumer Goods,Varun Beverages Ltd.,,,,,,,NIFTY FMCG,,,
VEDL,Large Cap,Metals & Mining,Vedanta Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
WIPRO,Large Cap,Information Technology,Wipro Ltd.,Nifty 50,,NIFTY F&O,,,NIFTY IT,,,,
ZOMATO,Large Cap,Consumer Services,Zomato Ltd.,,,,,,,,,,
3MINDIA,Mid Cap,Diversified,3M India Ltd.,,,,,,,,,,
AARTIIND,Mid Cap,Chemicals,Aarti Industries Ltd.,,,NIFTY F&O,,,,,,,
AAVAS,Mid Cap,Financial Services,Aavas Financiers Ltd.,,,,,,,,,,
ABBOTINDIA,Mid Cap,Healthcare,Abbott India Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
ABCAPITAL,Mid Cap,Financial Services,Aditya Birla Capital Ltd.,,,NIFTY F&O,,,,,,,
ABFRL,Mid Cap,Consumer Services,Aditya Birla Fashion and Retail Ltd.,,,NIFTY F&O,,,,,,,
ADANIPOWER,Mid Cap,Power,Adani Power Ltd.,,,,,,,,,,
AFFLE,Mid Cap,Information Technology,Affle (India) Ltd.,,,,,,,,,,
AIAENG,Mid Cap,Capital Goods,AIA Engineering Ltd.,,,,,,,,,,
AJANTPHARM,Mid Cap,Healthcare,Ajanta Pharmaceuticals Ltd.,,,,,,,,,,
ALKEM,Mid Cap,Healthcare,Alkem Laboratories Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
ALKYLAMINE,Mid Cap,Chemicals,Alkyl Amines Chemicals Ltd.,,,,,,,,,,
APLAPOLLO,Mid Cap,Capital Goods,APL Apollo Tubes Ltd.,,,,,,,,NIFTY METAL,,
APOLLOTYRE,Mid Cap,Automobile and Auto Components,Apollo Tyres Ltd.,,,NIFTY F&O,,,,,,,
ASHOKLEY,Mid Cap,Capital Goods,Ashok Leyland Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
ASTRAL,Mid Cap,Capital Goods,Astral Ltd.,,,NIFTY F&O,,,,,,,
ATUL,Mid Cap,Chemicals,Atul Ltd.,,,NIFTY F&O,,,,,,,
AUBANK,Mid Cap,Financial Services,AU Small Finance Bank Ltd.,,BANKNIFTY,NIFTY F&O,,,,,,,
AUROPHARMA,Mid Cap,Healthcare,Aurobindo Pharma Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
BALKRISIND,Mid Cap,Automobile and Auto Components,Balkrishna Industries Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
BANDHANBNK,Mid Cap,Financial Services,Bandhan Bank Ltd.,,BANKNIFTY,NIFTY F&O,,,,,,,
BANKINDIA,Mid Cap,Financial Services,Bank of India,,,,,,,,,,
BATAINDIA,Mid Cap,Consumer Durables,Bata India Ltd.,,,NIFTY F&O,,,,,,,
BAYERCROP,Mid Cap,Chemicals,Bayer Cropscience Ltd.,,,,,,,,,,
BHARATFORG,Mid Cap,Capital Goods,Bharat Forge Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
BHEL,Mid Cap,Capital Goods,Bharat Heavy Electricals Ltd.,,,NIFTY F&O,,,,,,,
BIOCON,Mid Cap,Healthcare,Biocon Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
BLUEDART,Mid Cap,Services,Blue Dart Express Ltd.,,,,,,,,,,
CGPOWER,Mid Cap,Capital Goods,CG Power and Industrial Solutions Ltd.,,,,,,,,,,
CLEAN,Mid Cap,Chemicals,Clean Science and Technology Ltd.,,,,,,,,,,
COFORGE,Mid Cap,Information Technology,Coforge Ltd.,,,NIFTY F&O,,,NIFTY IT,,,,
CONCOR,Mid Cap,Services,Container Corporation of India Ltd.,,,NIFTY F&O,,,,,,,
COROMANDEL,Mid Cap,Chemicals,Coromandel International Ltd.,,,NIFTY F&O,,,,,,,
CRISIL,Mid Cap,Financial Services,CRISIL Ltd.,,,,,,,,,,
CROMPTON,Mid Cap,Consumer Durables,Crompton Greaves Consumer Electricals Ltd.,,,NIFTY F&O,,,,,,,
CUMMINSIND,Mid Cap,Capital Goods,Cummins India Ltd.,,,NIFTY F&O,,,,,,,
DALBHARAT,Mid Cap,Construction Materials,Dalmia Bharat Ltd.,,,NIFTY F&O,,,,,,,
DEEPAKNTR,Mid Cap,Chemicals,Deepak Nitrite Ltd.,,,NIFTY F&O,,,,,,,
DELHIVERY,Mid Cap,Services,Delhivery Ltd.,,,,,,,,,,
DEVYANI,Mid Cap,Consumer Services,Devyani International Ltd.,,,,,,,,,,
DIXON,Mid Cap,Consumer Durables,Dixon Technologies (India) Ltd.,,,NIFTY F&O,,,,,,,
EMAMILTD,Mid Cap,Fast Moving Consumer Goods,Emami Ltd.,,,,,,,NIFTY FMCG,,,
ENDURANCE,Mid Cap,Automobile and Auto Components,Endurance Technologies Ltd.,,,,,,,,,,
ESCORTS,Mid Cap,Capital Goods,Escorts Kubota Ltd.,,,NIFTY F&O,,,,,,,
FEDERALBNK,Mid Cap,Financial Services,Federal Bank Ltd.,,BANKNIFTY,NIFTY F&O,,,,,,,
FINEORG,Mid Cap,Chemicals,Fine Organic Industries Ltd.,,,,,,,,,,
FLUOROCHEM,Mid Cap,Chemicals,Gujarat Fluorochemicals Ltd.,,,,,,,,,,
FORTIS,Mid Cap,Healthcare,Fortis Healthcare Ltd.,,,,,,,,,,
GICRE,Mid Cap,Financial Services,General Insurance Corporation of India,,,,,,,,,,
GLAND,Mid Cap,Healthcare,Gland Pharma Ltd.,,,,,,,,,NIFTY PHARMA,
GLAXO,Mid Cap,Healthcare,Glaxosmithkline Pharmaceuticals Ltd.,,,,,,,,,NIFTY PHARMA,
GMRINFRA,Mid Cap,Services,GMR Airports Infrastructure Ltd.,,,NIFTY F&O,,,,,,,
GODREJIND,Mid Cap,Diversified,Godrej Industries Ltd.,,,,,,,,,,
GODREJPROP,Mid Cap,Realty,Godrej Properties Ltd.,,,NIFTY F&O,,,,,,,
GRINDWELL,Mid Cap,Capital Goods,Grindwell Norton Ltd.,,,,,,,,,,
GUJGASLTD,Mid Cap,Oil Gas & Consumable Fuels,Gujarat Gas Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
HAPPSTMNDS,Mid Cap,Information Technology,Happiest Minds Technologies Ltd.,,,,,,,,,,
HINDPETRO,Mid Cap,Oil Gas & Consumable Fuels,Hindustan Petroleum Corporation Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
HINDZINC,Mid Cap,Metals & Mining,Hindustan Zinc Ltd.,,,,,,,,NIFTY METAL,,
HONAUT,Mid Cap,Capital Goods,Honeywell Automation India Ltd.,,,,,,,,,,
IDEA,Mid Cap,Telecommunication,Vodafone Idea Ltd.,,,NIFTY F&O,,,,,,,
IDFCFIRSTB,Mid Cap,Financial Services,IDFC First Bank Ltd.,,BANKNIFTY,NIFTY F&O,,,,,,,
IGL,Mid Cap,Oil Gas & Consumable Fuels,Indraprastha Gas Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
INDHOTEL,Mid Cap,Consumer Services,Indian Hotels Co. Ltd.,,,NIFTY F&O,,,,,,,
INDIANB,Mid Cap,Financial Services,Indian Bank,,,,,,,,,,
IPCALAB,Mid Cap,Healthcare,Ipca Laboratories Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
IRFC,Mid Cap,Financial Services,Indian Railway Finance Corporation Ltd.,,,,,,,,,,
ISEC,Mid Cap,Financial Services,ICICI Securities Ltd.,,,,,,,,,,
JINDALSTEL,Mid Cap,Metals & Mining,Jindal Steel & Power Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
JKCEMENT,Mid Cap,Construction Materials,J.K. Cement Ltd.,,,NIFTY F&O,,,,,,,
JSWENERGY,Mid Cap,Power,JSW Energy Ltd.,,,,,,,,,,
JUBLFOOD,Mid Cap,Consumer Services,Jubilant Foodworks Ltd.,,,NIFTY F&O,,,,,,,
KAJARIACER,Mid Cap,Consumer Durables,Kajaria Ceramics Ltd.,,,,,,,,,,
KANSAINER,Mid Cap,Consumer Durables,Kansai Nerolac Paints Ltd.,,,,,,,,,,
KPRMILL,Mid Cap,Textiles,K.P.R. Mill Ltd.,,,,,,,,,,
L&TFH,Mid Cap,Financial Services,L&T Finance Holdings Ltd.,,,NIFTY F&O,,,,,,,
LALPATHLAB,Mid Cap,Healthcare,Dr. Lal Path Labs Ltd.,,,NIFTY F&O,,,,,,,
LAURUSLABS,Mid Cap,Healthcare,Laurus Labs Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
LICHSGFIN,Mid Cap,Financial Services,LIC Housing Finance Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
LINDEINDIA,Mid Cap,Chemicals,Linde India Ltd.,,,,,,,,,,
LODHA,Mid Cap,Realty,Macrotech Developers Ltd.,,,,,,,,,,
LTTS,Mid Cap,Information Technology,L&T Technology Services Ltd.,,,NIFTY F&O,,,NIFTY IT,,,,
LUPIN,Mid Cap,Healthcare,Lupin Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
M&MFIN,Mid Cap,Financial Services,Mahindra & Mahindra Financial Services Ltd.,,,NIFTY F&O,,,,,,,
MANYAVAR,Mid Cap,Consumer Services,Vedant Fashions Ltd.,,,,,,,,,,
MAXHEALTH,Mid Cap,Healthcare,Max Healthcare Institute Ltd.,,,,,,,,,,
METROBRAND,Mid Cap,Consumer Durables,Metro Brands Ltd.,,,,,,,,,,
MFSL,Mid Cap,Financial Services,Max Financial Services Ltd.,,,NIFTY F&O,,,,,,,
MPHASIS,Mid Cap,Information Technology,MphasiS Ltd.,,,NIFTY F&O,,,NIFTY IT,,,,
MRF,Mid Cap,Automobile and Auto Components,MRF Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
